Country,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
Austria,8451860.0,8507786.0,8584926.0,8700471.0,8772865.0,8822267.0,8858775.0,8901064.0,8932664.0,8978929.0
Bosnia y Herzegovina,3835645.0,3830911.0,3825334.0,3515982.0,3509728.0,3500295.0,3492018.0,3318407.0,3270943.0,3270943.0
Bélgica,11137974.0,11180840.0,11237274.0,11311117.0,11351727.0,11398589.0,11455519.0,11522440.0,11554767.0,11617623.0
Suiza,8039060.0,8139631.0,8237666.0,8327126.0,8419550.0,8484130.0,8544527.0,8606033.0,8670300.0,8738791.0
Chipre,865878.0,858000.0,847008.0,848319.0,854802.0,864236.0,875899.0,888005.0,896007.0,904705.0
República Checa,10516125.0,10512419.0,10538275.0,10553843.0,10578820.0,10610055.0,10649800.0,10693939.0,10494836.0,10516707.0
Alemania,80523746.0,80767463.0,81197537.0,82175684.0,82521653.0,82792351.0,83019213.0,83166711.0,83155031.0,83237124.0
Dinamarca,5602628.0,5627235.0,5659715.0,5707251.0,5748769.0,5781190.0,5806081.0,5822763.0,5840045.0,5873420.0
Estonia,1320174.0,1315819.0,1314870.0,1315944.0,1315635.0,1319133.0,1324820.0,1328976.0,1330068.0,1331796.0
Grecia,11003615.0,10926807.0,10858018.0,10783748.0,10768193.0,10741165.0,10724599.0,10718565.0,10678632.0,10459782.0
España,46727890.0,46512199.0,46449565.0,46440099.0,46528024.0,46658447.0,46937060.0,47332614.0,47398695.0,47432893.0
Finlandia,5426674.0,5451270.0,5471753.0,5487308.0,5503297.0,5513130.0,5517919.0,5525292.0,5533793.0,5548241.0
Francia,65600350.0,66165980.0,66458153.0,66638391.0,66809816.0,67026224.0,67290471.0,67485531.0,67656682.0,67871925.0
Croacia,4262140.0,4246809.0,4225316.0,4190669.0,4154213.0,4105493.0,4076246.0,4058165.0,4036355.0,3862305.0
Islandia,321857.0,325671.0,329100.0,332529.0,338349.0,348450.0,356991.0,364134.0,368792.0,376248.0
Italia,59685227.0,60782668.0,60795612.0,60665551.0,60589445.0,60483973.0,59816673.0,59641488.0,59236213.0,59030133.0
Lituania,2971905.0,2943472.0,2921262.0,2888558.0,2847904.0,2808901.0,2794184.0,2794090.0,2795680.0,2805998.0
Latvia,2023825.0,2001468.0,1986096.0,1968957.0,1950116.0,1934379.0,1919968.0,1907675.0,1893223.0,1875757.0
Malta,422509.0,429424.0,439691.0,450415.0,460297.0,475701.0,493559.0,514564.0,516100.0,520971.0
Países Bajos,16779575.0,16829289.0,16900726.0,16979120.0,17081507.0,17181084.0,17282163.0,17407585.0,17475415.0,17590672.0
Noruega,5051275.0,5107970.0,5166493.0,5210721.0,5258317.0,5295619.0,5328212.0,5367580.0,5391369.0,5425270.0
Polonia,38062535.0,38017856.0,38005614.0,37967209.0,37972964.0,37976687.0,37972812.0,37958138.0,37840001.0,37654247.0
Portugal,10487289.0,10427301.0,10374822.0,10341330.0,10309573.0,10291027.0,10276617.0,10295909.0,10298252.0,10352042.0
Rumania,20020074.0,19947311.0,19870647.0,19760585.0,19643949.0,19533481.0,19414458.0,19328838.0,19201662.0,19042455.0
Serbia,7181505.0,7146759.0,7114393.0,7076372.0,7040272.0,7001444.0,6963764.0,6926705.0,6871547.0,6797105.0
Suecia,9555893.0,9644864.0,9747355.0,9851017.0,9995153.0,10120242.0,10230185.0,10327589.0,10379295.0,10452326.0
Eslovenia,2058821.0,2061085.0,2062874.0,2064188.0,2065895.0,2066880.0,2080908.0,2095861.0,2108977.0,2107180.0
Eslovaquia,5410836.0,5415949.0,5421349.0,5426252.0,5435343.0,5443120.0,5450421.0,5457873.0,5459781.0,5434712.0
Turquía,75627384.0,76667864.0,77695904.0,78741053.0,79814871.0,80810525.0,82003882.0,83154997.0,83614362.0,84680273.0
Reino Unido,63905342.0,64351203.0,64853393.0,65379044.0,65844142.0,66273576.0,66647112.0,67025542.0,67326569.0,67326569.0
