Country,Metabolite,Daily mean
Alemania,MDMA,16.724285714285713
Alemania,amphetamine,99.73264705882353
Alemania,cannabis,58.083333333333336
Alemania,cocaine,161.82532467532468
Alemania,methamphetamine,72.43831168831169
Austria,MDMA,10.775799999999998
Austria,amphetamine,17.5186
Austria,cannabis,58.00021276595745
Austria,cocaine,182.18959999999998
Austria,methamphetamine,4.7846
Bosnia y Herzegovina,MDMA,0.0
Bosnia y Herzegovina,amphetamine,52.42
Bosnia y Herzegovina,cannabis,39.77
Bosnia y Herzegovina,cocaine,30.58
Bosnia y Herzegovina,methamphetamine,0.0
Bélgica,MDMA,33.2882
Bélgica,amphetamine,145.52666666666667
Bélgica,cannabis,63.069
Bélgica,cocaine,450.1113725490196
Bélgica,methamphetamine,8.946862745098038
Chipre,MDMA,5.169411764705882
Chipre,amphetamine,6.08
Chipre,cocaine,74.42066666666666
Chipre,ketamine,0.578
Chipre,methamphetamine,25.592352941176472
Croacia,MDMA,25.3325
Croacia,amphetamine,145.3725
Croacia,cannabis,112.83
Croacia,cocaine,237.20083333333332
Croacia,methamphetamine,0.6281818181818182
Dinamarca,MDMA,28.9
Dinamarca,amphetamine,61.69714285714286
Dinamarca,cocaine,429.8475
Dinamarca,ketamine,16.82
Dinamarca,methamphetamine,16.77875
Eslovaquia,MDMA,5.4381818181818184
Eslovaquia,amphetamine,16.17909090909091
Eslovaquia,cannabis,28.023333333333333
Eslovaquia,cocaine,54.856923076923074
Eslovaquia,methamphetamine,147.5911111111111
Eslovenia,MDMA,14.027586206896553
Eslovenia,amphetamine,19.66103448275862
Eslovenia,cannabis,74.56190476190476
Eslovenia,cocaine,265.4058620689655
Eslovenia,ketamine,0.9557142857142857
Eslovenia,methamphetamine,1.6989655172413793
España,MDMA,16.601041666666667
España,amphetamine,12.384897959183673
España,cannabis,89.7553125
España,cocaine,457.75980000000004
España,ketamine,11.223333333333334
España,methamphetamine,10.760612244897958
Estonia,MDMA,13.8
Estonia,amphetamine,116.25999999999999
Estonia,cannabis,41.9525
Estonia,cocaine,84.5
Estonia,methamphetamine,14.96
Finlandia,MDMA,15.63072
Finlandia,amphetamine,92.5468
Finlandia,cocaine,12.46560975609756
Finlandia,methamphetamine,10.577685950413224
Francia,MDMA,23.12764705882353
Francia,amphetamine,0.0
Francia,cannabis,127.446
Francia,cocaine,262.1122222222223
Francia,methamphetamine,0.2222222222222222
Grecia,MDMA,3.070909090909091
Grecia,amphetamine,8.43
Grecia,cannabis,46.81428571428571
Grecia,cocaine,50.49909090909091
Grecia,ketamine,0.0
Grecia,methamphetamine,5.218333333333333
Islandia,MDMA,39.175000000000004
Islandia,amphetamine,202.76666666666668
Islandia,cannabis,105.36
Islandia,cocaine,374.4557142857143
Islandia,methamphetamine,27.55666666666667
Italia,MDMA,4.668125
Italia,amphetamine,1.814375
Italia,cannabis,38.316923076923075
Italia,cocaine,317.0329411764706
Italia,ketamine,13.83
Italia,methamphetamine,10.223529411764707
Latvia,MDMA,32.895
Latvia,amphetamine,64.6975
Latvia,cocaine,111.81
Latvia,methamphetamine,125.4425
Lituania,MDMA,22.3675
Lituania,amphetamine,45.041875
Lituania,cocaine,82.234375
Lituania,methamphetamine,21.88875
Malta,amphetamine,3.72
Malta,cocaine,68.45
Malta,methamphetamine,0.19
Noruega,MDMA,35.04545454545455
Noruega,amphetamine,109.21199999999999
Noruega,cannabis,86.31
Noruega,cocaine,154.18599999999998
Noruega,methamphetamine,113.61181818181818
Países Bajos,MDMA,120.3409375
Países Bajos,amphetamine,164.82344827586206
Países Bajos,cannabis,146.15190476190477
Países Bajos,cocaine,517.8016216216216
Países Bajos,methamphetamine,10.2890625
Polonia,MDMA,27.2625
Polonia,amphetamine,59.589999999999996
Polonia,cannabis,38.755
Polonia,cocaine,62.4675
Polonia,ketamine,1.66
Polonia,methamphetamine,2.416
Portugal,MDMA,23.88269230769231
Portugal,amphetamine,2.7569230769230773
Portugal,cannabis,86.00133333333333
Portugal,cocaine,259.4719230769231
Portugal,ketamine,10.515
Portugal,methamphetamine,1.1607692307692308
Reino Unido,MDMA,39.53272727272727
Reino Unido,amphetamine,42.125
Reino Unido,cannabis,0.0
Reino Unido,cocaine,640.2916666666666
Reino Unido,ketamine,203.62
Reino Unido,methamphetamine,8.218333333333334
República Checa,MDMA,20.4636
República Checa,amphetamine,38.88076923076923
República Checa,cannabis,78.9825
República Checa,cocaine,90.82107142857144
República Checa,ketamine,0.64
República Checa,methamphetamine,383.67041666666665
Rumanía,MDMA,0.0
Rumanía,amphetamine,0.0
Rumanía,cannabis,0.0
Rumanía,cocaine,0.0
Rumanía,methamphetamine,0.0
Serbia,MDMA,13.836666666666666
Serbia,amphetamine,37.37666666666667
Serbia,cannabis,101.4
Serbia,cocaine,60.806666666666665
Serbia,methamphetamine,0.0
Suecia,MDMA,14.772727272727273
Suecia,amphetamine,331.88863636363635
Suecia,cannabis,35.160666666666664
Suecia,cocaine,94.25181818181818
Suecia,ketamine,0.6033333333333334
Suecia,methamphetamine,6.659090909090909
Suiza,MDMA,28.33490566037736
Suiza,amphetamine,31.643584905660376
Suiza,cannabis,99.3323076923077
Suiza,cocaine,564.1575471698113
Suiza,methamphetamine,21.582291666666666
Turquía,MDMA,19.072857142857142
Turquía,amphetamine,6.085
Turquía,cannabis,23.048571428571428
Turquía,cocaine,28.30375
Turquía,ketamine,3.3
Turquía,methamphetamine,42.07142857142857
